"","category","bottom","top","number_children","average","number_below","percent_below","number_meeting_exceeding","percent_meeting_exceeding","season","year","age_group"
"437","Literacy",529,711,13,496,9,69.2,4,30.8,"Spring","18-19","4-5"
"438","Literacy",529,711,11,648,0,0,11,100,"Spring","18-19","4-5"
"439","Mathematics",383,504,1,160,1,100,0,0,"Spring","18-19","4-5"
"440","Mathematics",383,504,1,160,1,100,0,0,"Spring","18-19","4-5"
"441","Mathematics",383,504,98,395,36,36.7,62,63.3,"Spring","18-19","4-5"
"442","Mathematics",383,504,4,374,3,75,1,25,"Spring","18-19","4-5"
"443","Mathematics",383,504,2,364,1,50,1,50,"Spring","18-19","4-5"
"444","Mathematics",383,504,3,413,0,0,3,100,"Spring","18-19","4-5"
"445","Mathematics",383,504,13,407,3,23.1,10,76.9,"Spring","18-19","4-5"
"446","Mathematics",383,504,5,480,0,0,5,100,"Spring","18-19","4-5"
"447","Mathematics",383,504,12,402,3,25,9,75,"Spring","18-19","4-5"
"448","Mathematics",383,504,9,426,0,0,9,100,"Spring","18-19","4-5"
"449","Mathematics",383,504,13,392,7,53.9,6,46.1,"Spring","18-19","4-5"
"450","Mathematics",383,504,12,405,2,16.7,10,83.3,"Spring","18-19","4-5"
"451","Mathematics",383,504,1,338,1,100,0,0,"Spring","18-19","4-5"
"452","Mathematics",383,504,13,303,13,100,0,0,"Spring","18-19","4-5"
"453","Mathematics",383,504,11,428,3,27.3,8,72.7,"Spring","18-19","4-5"
